Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Nick Boyle,TE,27,9,9,0,0,0,0,0,0,0,,0,17,14,113,8.07,2,0.0,0,2,,,23.0,37.3,40.3,30.3,,58,,2020,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MyCole Pruitt,TE,28,11,4,0,0,0,0,0,0,0,,0,8,5,49,9.8,2,0.0,0,3,,,23.0,27.9,27.9,25.4,,60,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Adam Trautman,TE,23,15,6,0,0,0,0,0,0,0,,0,16,15,171,11.4,1,0.0,0,1,,,23.0,38.1,41.1,30.6,,59,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ian Thomas,TE,24,16,8,0,0,0,0,0,0,0,,0,31,20,145,7.25,1,1.0,0,1,,,21.0,40.5,43.5,30.5,,61,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jason Witten,TE,38,16,7,0,0,0,0,0,0,0,,0,17,13,69,5.31,2,0.0,0,2,,,19.0,31.9,31.9,25.4,,62,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Ryan Izzo,TE,25,12,12,0,0,0,0,0,0,0,,0,20,13,199,15.31,0,1.0,1,0,,,18.0,30.9,34.9,24.4,,64,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Albert Okwuegbunam,TE,22,4,0,0,0,0,0,0,0,0,,0,15,11,121,11.0,1,0.0,0,1,,,18.0,29.1,32.1,23.6,,63,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jace Sternberger,TE,24,12,0,0,0,0,0,0,0,0,,0,15,12,114,9.5,1,0.0,0,1,,,17.0,29.4,32.4,23.4,,65,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nick Vannett,TE,27,15,11,0,0,0,0,0,0,0,,0,21,14,95,6.79,1,0.0,0,1,,,16.0,29.5,29.5,22.5,,67,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maxx Williams,TE,26,9,8,0,0,0,0,0,0,0,,0,10,8,102,12.75,1,0.0,0,1,,,16.0,24.2,27.2,20.2,,66,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Darrell Daniels,TE,26,12,8,0,0,0,0,0,0,0,,0,11,8,92,11.5,1,0.0,0,1,,,15.0,23.2,23.2,19.2,,68,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C.J. Uzomah,TE,27,2,2,0,0,0,0,0,0,0,,0,11,8,87,10.88,1,0.0,0,1,,,15.0,22.7,22.7,18.7,,69,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Troy Fumagalli,TE,25,8,0,0,0,0,0,0,0,0,,0,15,8,80,10.0,1,0.0,0,1,,,14.0,22.0,22.0,18.0,,71,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Geoff Swaim,TE,27,10,8,0,0,0,0,0,0,0,,0,12,9,83,9.22,1,0.0,0,1,,,14.0,23.3,23.3,18.8,,70,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Stephen Anderson,TE,27,16,3,0,0,0,0,0,0,0,,0,11,8,106,13.25,0,0.0,0,0,,,11.0,18.6,21.6,14.6,,75,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blake Bell,TE,29,16,2,0,0,0,0,0,1,2,2.0,0,15,11,110,10.0,0,0.0,0,0,,,11.0,22.2,25.2,16.7,,72,,2020,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Virgil Green,TE,32,6,3,0,0,0,0,0,0,0,,0,6,3,50,16.67,1,0.0,0,1,,,11.0,14.0,14.0,12.5,,74,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Josh Hill,TE,30,14,7,0,0,0,0,0,0,0,,0,10,8,46,5.75,1,1.0,0,1,,,11.0,18.6,18.6,14.6,,76,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Kaden Smith,TE,23,15,12,0,0,0,0,0,0,0,,0,21,18,112,6.22,0,1.0,0,0,,,11.0,29.2,32.2,20.2,,73,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Devin Asiasi,TE,23,9,3,0,0,0,0,0,0,0,,0,7,2,39,19.5,1,0.0,0,1,,,10.0,11.9,11.9,10.9,,77,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Vance McDonald,TE,30,14,12,0,0,0,0,0,0,0,,0,20,15,99,6.6,0,0.0,0,0,,,10.0,24.9,24.9,17.4,,78,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Dominique Dafney,TE,23,5,2,0,0,0,0,0,0,0,,0,2,2,26,13.0,1,0.0,0,1,,,9.0,10.6,10.6,9.6,,79,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ryan Griffin,TE,30,15,6,0,0,0,0,0,0,0,,0,12,9,86,9.56,0,0.0,0,0,,,9.0,17.6,17.6,13.1,,80,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Colin Thompson,TE,27,15,4,0,0,0,0,0,0,0,,0,2,1,7,7.0,1,0.0,0,1,,,7.0,7.7,7.7,7.2,,81,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
