Rk,Player,Team,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,FirstTeamAllPro,SelectedToProBowl,Passing_Cmp_pass,Passing_Att_pass,Air Yards_IAY,Air Yards_IAY/PA,Air Yards_CAY,Air Yards_CAY/Cmp,Air Yards_CAY/PA,Air Yards_YAC,Air Yards_YAC/Cmp,Accuracy_Bats,Accuracy_ThAwy,Accuracy_Spikes,Accuracy_Drops,Accuracy_Drop%,Accuracy_BadTh,Accuracy_Bad%,Accuracy_OnTgt,Accuracy_OnTgt%,Pressure_PktTime,Pressure_Bltz,Pressure_Hrry,Pressure_Hits,Pressure_Prss,Pressure_Prss%,Pressure_Scrm,Pressure_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds,Rushing_Att_rush,Rushing_Yds_rush,Rushing_1D,Rushing_YBC,Rushing_YBC/Att,Rushing_YAC,Rushing_YAC/Att,Rushing_BrkTkl,Rushing_Att/Br,Receiving_Tgt_rec,Receiving_Rec_rec,Receiving_Yds_rec,Receiving_1D,Receiving_YBC,Receiving_YBC/R,Receiving_YAC,Receiving_YAC/R,Receiving_ADOT,Receiving_BrkTkl,Receiving_Rec/Br,Receiving_Drop,Receiving_Drop%,Receiving_Int,Receiving_Rat,Awards,Year
273,Tommy Tremble,CAR,TE,24,12,11,0,0,0,0,0,0,0,,0,32,23,234,10.17,2,1,1,2,,,33.0,56.4,60.4,44.9,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,23.0,234.0,12.0,109.0,4.7,125.0,5.4,5.7,1.0,23.0,1.0,3.1,1.0,100.3,,2024
274,Josh Whyle,TEN,TE,25,17,4,0,0,0,0,0,0,0,,0,37,28,248,8.86,1,0,0,1,1.0,,33.0,60.8,63.8,46.8,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,28.0,248.0,14.0,105.0,3.8,143.0,5.1,5.6,1.0,28.0,1.0,2.7,0.0,102.1,,2024
275,Nick Vannett,TEN,TE,31,17,10,0,0,0,0,0,0,0,,0,20,17,135,7.94,3,0,0,3,,,32.0,48.5,51.5,40.0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,17.0,135.0,7.0,25.0,1.5,110.0,6.5,1.1,0.0,,0.0,0.0,1.0,113.5,,2024
281,Adam Trautman,DEN,TE,27,17,14,0,0,0,0,0,0,0,,0,22,13,188,14.46,2,0,0,2,,,31.0,43.8,46.8,37.3,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,13.0,188.0,8.0,90.0,6.9,98.0,7.5,5.5,0.0,,1.0,4.5,0.0,117.2,,2024
284,Nate Adkins,DEN,TE,25,17,10,0,0,0,0,0,0,0,,0,15,14,115,8.21,3,0,0,3,,,30.0,43.5,46.5,36.5,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,14.0,115.0,6.0,39.0,2.8,76.0,5.4,4.1,1.0,14.0,0.0,0.0,0.0,138.2,,2024
286,Luke Schoonmaker,DAL,TE,26,17,6,0,0,0,0,0,0,0,,0,36,27,241,8.93,1,0,0,1,,,30.0,57.1,60.1,43.6,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,27.0,241.0,11.0,144.0,5.3,97.0,3.6,5.5,0.0,,0.0,0.0,0.0,101.7,,2024
288,Elijah Higgins,ARI,TE,24,17,6,0,0,0,0,0,0,0,,0,24,20,172,8.6,2,0,0,2,,,29.0,49.2,52.2,39.2,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,20.0,172.0,10.0,82.0,4.1,90.0,4.5,4.5,3.0,6.7,1.0,4.2,0.0,124.3,,2024
297,Johnny Mundt,MIN,TE,30,17,3,0,0,0,0,0,0,0,,0,27,19,142,7.47,2,0,0,2,,,26.0,45.2,48.2,35.7,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,19.0,142.0,8.0,59.0,3.1,83.0,4.4,4.1,2.0,9.5,2.0,7.4,0.0,107.3,,2024
299,Darnell Washington,PIT,TE,23,17,9,0,0,0,0,0,0,0,,0,25,19,200,10.53,1,0,0,1,,,26.0,45.0,48.0,35.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.0,200.0,9.0,74.0,3.9,126.0,6.6,4.3,2.0,9.5,0.0,0.0,1.0,95.4,,2024
307,Payne Durham,TAM,TE,24,16,6,0,0,0,0,0,0,0,,0,14,11,115,10.45,2,1,0,2,,,24.0,34.5,37.5,29.0,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,11.0,115.0,5.0,91.0,8.3,24.0,2.2,8.9,0.0,,0.0,0.0,0.0,140.5,,2024
318,Brock Wright,DET,TE,26,17,8,0,0,0,0,0,0,0,,0,16,13,100,7.69,2,0,0,2,,,22.0,35.0,38.0,28.5,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,13.0,100.0,7.0,25.0,1.9,75.0,5.8,5.1,1.0,13.0,0.0,0.0,1.0,106.2,,2024
319,Mo Alie-Cox,IND,TE,31,17,13,0,0,0,0,0,0,0,,0,22,12,147,12.25,1,0,0,1,,,21.0,32.7,35.7,26.7,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,12.0,147.0,7.0,98.0,8.2,49.0,4.1,9.6,0.0,,1.0,4.5,1.0,71.6,,2024
325,Tanner Hudson,CIN,TE,30,11,0,0,0,0,0,0,1,1,1.0,0,23,19,154,8.11,1,1,1,1,,,20.0,38.5,42.5,29.0,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,23.0,19.0,154.0,9.0,57.0,3.0,97.0,5.1,4.3,0.0,,1.0,4.3,0.0,109.1,,2024
330,Tyler Higbee,LAR,TE,31,3,3,0,0,0,0,0,0,0,,0,12,8,66,8.25,2,0,0,2,,,19.0,26.6,26.6,22.6,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,66.0,5.0,18.0,2.3,48.0,6.0,2.2,0.0,,0.0,0.0,0.0,120.1,,2024
331,Charlie Kolar,BAL,TE,25,13,3,0,0,0,0,0,1,2,2.0,0,11,9,131,14.56,1,0,0,1,,,19.0,28.3,31.3,23.8,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,,11.0,9.0,131.0,4.0,55.0,6.1,76.0,8.4,6.0,0.0,,0.0,0.0,0.0,146.6,,2024
334,Stone Smartt,LAC,TE,26,15,2,0,0,0,0,0,0,0,,0,19,16,208,13.0,0,1,1,0,,,19.0,34.8,38.8,26.8,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,16.0,208.0,11.0,142.0,8.9,66.0,4.1,10.1,0.0,,2.0,10.5,0.0,112.3,,2024
335,Cade Stover,HOU,TE,24,15,9,0,0,0,0,0,0,0,,0,22,15,133,8.87,1,0,0,1,,,19.0,34.3,37.3,26.8,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,15.0,133.0,5.0,39.0,2.6,94.0,6.3,5.4,2.0,7.5,1.0,4.5,0.0,99.2,,2024
