,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_games,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating
108,107,HOU,Dameon Pierce,RB,22,2024,0,0,1,12,12,38,0,0,0,0,0,405,1648,8,45,268,1,1,,,Florida,http://www.sports-reference.com/cfb/players/dameon-pierce-1.html,50.0,45.0,422.0,9.4,5.0,8.4,329.0,1806.0,5.5,23.0,36.1,374.0,2228.0,6.0,28.0,,,,,,,,,,,,,
113,112,NYG,Daniel Bellinger,TE,21,2024,0,0,2,6,6,46,0,0,0,0,0,1,2,1,69,648,2,2,,,San Diego St.,http://www.sports-reference.com/cfb/players/daniel-bellinger-1.html,43.0,68.0,771.0,11.3,5.0,17.9,2.0,-4.0,-2.0,0.0,-0.1,70.0,767.0,11.0,5.0,,,,,,,,,,,,,
123,122,LVR,Zamir White,RB,22,2024,0,0,0,5,5,39,0,0,0,0,0,186,704,2,21,128,0,1,,,Georgia,http://www.sports-reference.com/cfb/players/zamir-white-1.html,38.0,17.0,132.0,7.8,0.0,3.5,382.0,2043.0,5.3,25.0,53.8,399.0,2175.0,5.5,25.0,,,,,,,,,,,,,
124,123,LAC,Isaiah Spiller,RB,21,2023,0,0,0,1,1,15,0,0,0,0,0,55,137,0,9,47,0,,,,Texas A&M,http://www.sports-reference.com/cfb/players/isaiah-spiller-1.html,35.0,74.0,585.0,7.9,1.0,16.7,541.0,2993.0,5.5,25.0,85.5,615.0,3578.0,5.8,26.0,,,,,,,,,,,,,
126,125,MIA,Erik Ezukanma,WR,22,2024,0,0,0,0,0,5,0,0,0,0,0,5,22,0,1,3,0,,,,Texas Tech,http://www.sports-reference.com/cfb/players/erik-ezukanma-1.html,35.0,138.0,2165.0,15.7,15.0,61.9,10.0,138.0,13.8,2.0,3.9,148.0,2303.0,15.6,17.0,,,,,,,,,,,,,
129,128,BAL,Charlie Kolar,TE,23,2024,0,0,0,2,2,30,0,0,0,0,0,1,2,0,20,267,2,5,,,Iowa St.,http://www.sports-reference.com/cfb/players/charlie-kolar-1.html,49.0,168.0,2181.0,13.0,23.0,44.5,0.0,0.0,,0.0,0.0,168.0,2181.0,13.0,23.0,,,,,,,,,,,,,
130,129,DAL,Jake Ferguson,TE,23,2024,0,1,2,15,15,47,0,0,0,0,0,0,0,0,149,1429,7,1,,,Wisconsin,http://www.sports-reference.com/cfb/players/jake-ferguson-1.html,47.0,145.0,1618.0,11.2,13.0,34.4,0.0,0.0,,0.0,0.0,145.0,1618.0,11.2,13.0,,,,,,,,,,,,,
132,131,TEN,Hassan Haskins,RB,22,2024,0,0,0,2,1,32,0,0,0,0,0,59,182,2,14,106,1,11,,,Michigan,http://www.sports-reference.com/cfb/players/hassan-haskins-1.html,36.0,24.0,171.0,7.1,0.0,4.8,452.0,2324.0,5.1,30.0,64.6,476.0,2495.0,5.2,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
133,132,GNB,Romeo Doubs,WR,22,2024,0,0,2,16,16,43,0,0,0,0,0,1,11,0,147,1700,15,,,,Nevada,http://www.sports-reference.com/cfb/players/romeo-doubs-1.html,44.0,225.0,3322.0,14.8,26.0,75.5,3.0,-1.0,-0.3,0.0,0.0,228.0,3321.0,14.6,26.0,,,,,,,,,,,,,
138,137,NWE,Bailey Zappe,QB,23,2024,0,0,0,2,2,15,208,335,2223,12,14,29,85,1,1,-6,0,,,,Western Kentucky,http://www.sports-reference.com/cfb/players/bailey-zappe-1.html,14.0,0.0,0.0,,0.0,0.0,51.0,17.0,0.3,3.0,1.2,51.0,17.0,0.3,3.0,475.0,687.0,69.1,5967.0,62.0,9.0,11.0,1.6,8.7,9.77,12.6,426.2,168.7
139,138,PIT,Calvin Austin III,WR,23,2024,0,0,0,8,8,34,0,0,0,0,0,11,57,1,53,728,5,,,,Memphis,http://www.sports-reference.com/cfb/players/calvin-austin-iii-1.html,45.0,156.0,2541.0,16.3,22.0,56.5,8.0,169.0,21.1,3.0,3.8,164.0,2710.0,16.5,25.0,1.0,1.0,100.0,7.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.2,158.8
140,139,BAL,Isaiah Likely,TE,22,2024,0,0,1,12,12,49,0,0,0,0,0,0,0,0,108,1261,14,4,,,Coastal Carolina,http://www.sports-reference.com/cfb/players/isaiah-likely-1.html,48.0,133.0,2050.0,15.4,27.0,42.7,3.0,10.0,3.3,0.0,0.2,136.0,2060.0,15.1,27.0,,,,,,,,,,,,,
144,143,TEN,Chigoziem Okonkwo,TE,22,2024,0,0,1,12,12,51,0,0,0,0,0,6,25,0,138,1457,6,8,,,Maryland,http://www.sports-reference.com/cfb/players/chigoziem-okonkwo-1.html,38.0,77.0,717.0,9.3,8.0,18.9,3.0,72.0,24.0,3.0,1.9,80.0,789.0,9.9,11.0,,,,,,,,,,,,,
145,144,WAS,Sam Howell,QB,21,2024,0,0,1,12,12,20,404,645,4139,22,23,54,300,6,1,4,0,,,,North Carolina,http://www.sports-reference.com/cfb/players/sam-howell-1.html,37.0,4.0,24.0,6.0,2.0,0.6,369.0,1009.0,2.7,17.0,27.3,373.0,1033.0,2.8,19.0,713.0,1117.0,63.8,10283.0,92.0,8.2,23.0,2.1,9.2,9.93,14.4,277.9,164.2
149,148,BUF,Khalil Shakir,WR,22,2024,0,0,2,18,18,46,0,0,0,0,0,3,14,0,125,1593,7,1,,,Boise St.,http://www.sports-reference.com/cfb/players/khalil-shakir-1.html,43.0,208.0,2878.0,13.8,20.0,66.9,71.0,414.0,5.8,4.0,9.6,279.0,3292.0,11.8,24.0,4.0,5.0,80.0,20.0,1.0,20.0,1.0,20.0,4.0,-1.0,5.0,0.5,139.6
150,149,WAS,Cole Turner,TE,22,2023,0,0,0,1,1,22,0,0,0,0,0,0,0,0,13,143,0,1,,,Nevada,http://www.sports-reference.com/cfb/players/cole-turner-2.html,45.0,117.0,1370.0,11.7,20.0,30.4,0.0,0.0,,0.0,0.0,117.0,1370.0,11.7,20.0,,,,,,,,,,,,,
152,151,ATL,Tyler Allgeier,RB,22,2024,0,0,0,16,16,50,0,0,0,0,0,533,2362,10,47,420,2,4,,,BYU,http://www.sports-reference.com/cfb/players/tyler-allgeier-1.html,41.0,46.0,437.0,9.5,1.0,10.7,452.0,2904.0,6.4,36.0,70.8,498.0,3341.0,6.7,37.0,,,,,,,,,,,,,
155,154,JAX,Snoop Conner,RB,22,2022,0,0,0,0,0,8,0,0,0,0,0,12,42,1,0,0,0,1,,,Mississippi,http://www.sports-reference.com/cfb/players/snoop-conner-1.html,35.0,32.0,225.0,7.0,0.0,6.4,304.0,1580.0,5.2,26.0,45.1,336.0,1805.0,5.4,26.0,,,,,,,,,,,,,
157,156,CLE,Jerome Ford,RB,22,2024,0,0,1,10,10,44,0,0,0,0,0,316,1390,7,81,544,5,1,,,Cincinnati,http://www.sports-reference.com/cfb/players/jerome-ford-1.html,32.0,31.0,282.0,9.1,1.0,8.8,318.0,1953.0,6.1,30.0,61.0,349.0,2235.0,6.4,31.0,,,,,,,,,,,,,
164,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3,13,0,0,0,0,0,0,0,0,23,259,0,,,,UCLA,http://www.sports-reference.com/cfb/players/kyle-philips-4.html,35.0,163.0,1821.0,11.2,17.0,52.0,5.0,47.0,9.4,0.0,1.3,168.0,1868.0,11.1,17.0,,,,,,,,,,,,,
165,164,LAR,Kyren Williams,RB,22,2024,0,1,2,20,20,38,0,0,0,0,0,579,2582,26,75,464,5,2,,,Notre Dame,http://www.sports-reference.com/cfb/players/kyren-williams-1.html,28.0,78.0,675.0,8.7,4.0,24.1,419.0,2153.0,5.1,27.0,76.9,497.0,2828.0,5.7,31.0,,,,,,,,,,,,,
170,169,MIN,Ty Chandler,RB,24,2024,0,0,0,6,6,37,0,0,0,0,0,164,663,3,27,201,0,3,,,North Carolina,http://www.sports-reference.com/cfb/players/ty-chandler-1.html,59.0,73.0,681.0,9.3,4.0,11.5,603.0,3138.0,5.2,26.0,53.2,676.0,3819.0,5.6,30.0,,,,,,,,,,,,,
171,170,HOU,Teagan Quitoriano,TE,22,2024,0,0,0,1,1,23,0,0,0,0,0,0,0,0,9,146,2,2,,,Oregon St.,http://www.sports-reference.com/cfb/players/teagan-quitoriano-1.html,42.0,40.0,512.0,12.8,6.0,12.2,0.0,0.0,,0.0,0.0,40.0,512.0,12.8,6.0,,,,,,,,,,,,,
178,177,DET,James Mitchell,TE,23,2024,0,0,0,1,1,30,0,0,0,0,0,0,0,0,13,141,1,,,,Virginia Tech,http://www.sports-reference.com/cfb/players/james-mitchell-2.html,38.0,52.0,838.0,16.1,7.0,22.1,7.0,9.0,1.3,5.0,0.2,59.0,847.0,14.4,12.0,,,,,,,,,,,,,
184,183,NWE,Kevin Harris,RB,21,2023,0,0,0,1,1,9,0,0,0,0,0,34,117,2,3,58,0,,,,South Carolina,http://www.sports-reference.com/cfb/players/kevin-harris-5.html,28.0,35.0,274.0,7.8,1.0,9.8,358.0,1976.0,5.5,23.0,70.6,393.0,2250.0,5.7,24.0,,,,,,,,,,,,,
192,191,MIN,Jalen Nailor,WR,23,2024,0,0,0,5,5,38,0,0,0,0,0,3,-4,0,40,622,7,4,,,Michigan St.,http://www.sports-reference.com/cfb/players/jalen-nailor-1.html,28.0,86.0,1453.0,16.9,12.0,51.9,17.0,163.0,9.6,1.0,5.8,103.0,1616.0,15.7,13.0,,,,,,,,,,,,,
