Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Courtland Sutton,WR,25,1,1,0,0,0,0,0,0,0,,0,6,3,66,22.0,0,0.0,0,0,,,7.0,9.6,9.6,8.1,,178,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ja'Marcus Bradley,WR,24,3,1,0,0,0,0,0,0,0,,0,11,5,60,12.0,0,0.0,0,0,,,6.0,11.0,11.0,8.5,,182,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tyrie Cleveland,WR,23,10,0,0,0,0,0,0,0,0,,0,9,6,63,10.5,0,0.0,0,0,,,6.0,12.3,12.3,9.3,,180,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ashton Dulin,WR,23,13,0,0,0,0,0,0,2,11,5.5,0,6,3,53,17.67,0,1.0,0,0,,,6.0,9.4,9.4,7.9,,179,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaydon Mickens,WR,26,10,0,0,0,0,0,0,0,0,,0,10,7,58,8.29,0,0.0,0,0,,,6.0,12.8,12.8,9.3,,184,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Steven Mitchell,WR,26,6,1,0,0,0,0,0,0,0,,0,8,5,60,12.0,0,0.0,0,0,,,6.0,11.0,11.0,8.5,,183,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Damion Ratley,WR,25,5,0,0,0,0,0,0,0,0,,0,10,4,63,15.75,0,1.0,0,0,,,6.0,10.3,10.3,8.3,,181,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Trent Sherfield,WR,24,15,1,0,0,0,0,0,0,0,,0,7,5,50,10.0,0,0.0,0,0,,,5.0,10.0,10.0,7.5,,186,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nick Westbrook-Ikhine,WR,23,14,1,0,0,0,0,0,0,0,,0,8,3,33,11.0,0,0.0,0,0,1.0,,5.0,8.3,8.3,6.8,,185,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Isaiah Zuber,WR,23,4,0,0,0,0,0,0,2,21,10.5,0,2,2,29,14.5,0,0.0,0,0,,,5.0,7.0,7.0,6.0,,187,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Lawrence Cager,WR,23,2,1,0,0,0,0,0,0,0,,0,6,2,35,17.5,0,0.0,0,0,,,4.0,5.5,5.5,4.5,,192,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
River Cracraft,WR,26,9,1,0,0,0,0,0,0,0,,0,9,6,41,6.83,0,0.0,0,0,,,4.0,10.1,10.1,7.1,,188,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Robert Foster,WR,26,4,2,0,0,0,0,0,0,0,,0,6,2,37,18.5,0,0.0,0,0,,,4.0,5.7,5.7,4.7,,191,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
