Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Saquon Barkley,RB,23,2,2,0,0,0,0,0,19,34,1.79,0,9,6,60,10.0,0,0.0,0,0,,,9.0,15.4,15.4,12.4,,119,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Tevin Coleman,RB,27,8,1,0,0,0,0,0,28,53,1.89,0,5,4,34,8.5,0,0.0,0,0,,,9.0,12.7,12.7,10.7,,121,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Artavis Pierce,RB,24,5,0,0,0,0,0,0,6,34,5.67,1,0,0,0,,0,0.0,0,1,,,9.0,9.4,9.4,9.4,,120,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Justice Hill,RB,23,12,0,0,0,0,0,0,12,60,5.0,0,5,5,20,4.0,0,0.0,0,0,,,8.0,13.0,13.0,10.5,,123,,2020,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
C.J. Prosise,RB,26,10,0,0,0,0,0,0,10,19,1.9,0,5,5,18,3.6,1,1.0,1,1,,,8.0,12.7,13.7,10.2,,124,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Buddy Howell,RB,24,14,0,0,0,0,0,0,16,64,4.0,0,2,1,3,3.0,0,0.0,0,0,,,7.0,7.7,7.7,7.2,,129,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaylen Samuels,RB,24,14,1,0,0,0,0,0,9,28,3.11,0,14,9,46,5.11,0,0.0,0,0,,,7.0,16.4,16.4,11.9,,126,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Anthony Sherman,RB,32,13,1,0,0,0,0,0,3,8,2.67,0,2,1,5,5.0,1,0.0,0,1,,,7.0,8.3,8.3,7.8,,127,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jonathan Ward,RB,23,14,0,0,0,0,0,0,0,0,,0,1,1,11,11.0,1,0.0,0,1,,,7.0,8.1,8.1,7.6,,128,,2020,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marlon Mack,RB,24,1,1,0,0,0,0,0,4,26,6.5,0,3,3,30,10.0,0,0.0,0,0,,,6.0,8.6,8.6,7.1,,133,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Theo Riddick,RB,29,4,0,0,0,0,0,0,6,14,2.33,0,6,5,43,8.6,0,0.0,0,0,,,6.0,10.7,10.7,8.2,,132,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Brandon Wilson,RB,26,15,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0.0,0,1,,,6.0,6.0,6.0,6.0,,131,,2020,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trenton Cannon,RB,26,14,0,0,0,0,0,0,10,33,3.3,0,3,3,16,5.33,0,0.0,0,0,,,5.0,7.9,7.9,6.4,,135,,2020,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dontrell Hilliard,RB,25,7,0,0,0,0,0,0,9,48,5.33,0,1,1,2,2.0,0,0.0,0,0,,,5.0,6.0,6.0,5.5,,134,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Devine Ozigbo,RB,24,8,0,0,0,0,0,0,1,1,1.0,0,9,9,42,4.67,0,0.0,0,0,,,4.0,13.3,13.3,8.8,,137,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elijhaa Penny,RB,27,14,0,0,0,0,0,0,6,15,2.5,0,3,2,20,10.0,0,0.0,0,0,,,4.0,5.5,5.5,4.5,,139,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Rashaad Penny,RB,24,3,0,0,0,0,0,0,11,34,3.09,0,0,0,0,,0,0.0,0,0,,,3.0,3.4,3.4,3.4,,140,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Bo Scarbrough,RB,26,1,0,0,0,0,0,0,6,31,5.17,0,0,0,0,,0,0.0,0,0,,,3.0,3.1,3.1,3.1,,141,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Austin Walter,RB,24,4,0,0,0,0,0,0,1,3,3.0,0,1,1,27,27.0,0,0.0,0,0,,,3.0,4.0,4.0,3.5,,142,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
LeVante Bellamy,RB,24,5,0,0,0,0,0,0,4,11,2.75,0,1,1,5,5.0,0,0.0,0,0,,,2.0,2.6,2.6,2.1,,147,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rico Dowdle,RB,22,15,0,0,0,0,0,0,7,24,3.43,0,0,0,0,,0,0.0,0,0,,,2.0,2.4,2.4,2.4,,144,,2020,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jason Huntley,RB,22,5,0,0,0,0,0,0,5,19,3.8,0,2,1,0,0.0,0,0.0,0,0,,,2.0,2.9,2.9,2.4,,145,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Andy Janovich,RB,27,14,3,0,0,0,0,0,2,4,2.0,0,5,2,13,6.5,0,0.0,0,0,,,2.0,3.7,3.7,2.7,,146,,2020,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scottie Phillips,RB,23,8,0,0,0,0,0,0,2,9,4.5,0,1,1,7,7.0,0,0.0,0,0,,,2.0,2.6,2.6,2.1,,148,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dwayne Washington,RB,26,11,0,0,0,0,0,0,8,15,1.88,0,0,0,0,,0,0.0,0,0,,,2.0,1.5,1.5,1.5,,149,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Chandler Cox,RB,24,8,3,0,0,0,0,0,0,0,,0,2,2,9,4.5,0,0.0,0,0,,,1.0,2.9,2.9,1.9,,152,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cullen Gillaspia,RB,25,7,0,0,0,0,0,0,0,0,,0,1,1,6,6.0,0,0.0,0,0,,,1.0,1.6,1.6,1.1,,156,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tony Jones,RB,23,1,1,0,0,0,0,0,3,13,4.33,0,0,0,0,,0,0.0,0,0,,,1.0,1.3,1.3,1.3,,151,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Lamar Miller,RB,29,1,0,0,0,0,0,0,0,0,,0,2,2,6,3.0,0,0.0,0,0,,,1.0,2.6,2.6,1.6,,157,,2020,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senorise Perry,RB,29,7,0,0,0,0,0,0,2,9,4.5,0,0,0,0,,0,0.0,0,0,,,1.0,0.9,0.9,0.9,,153,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Craig Reynolds,RB,24,2,0,0,0,0,0,0,1,4,4.0,0,1,1,3,3.0,0,0.0,0,0,,,1.0,1.7,1.7,1.2,,155,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dexter Williams,RB,23,3,0,0,0,0,0,0,2,8,4.0,0,0,0,0,,0,0.0,0,0,,,1.0,0.8,0.8,0.8,,154,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jonathan Williams,RB,26,5,0,0,0,0,0,0,1,5,5.0,0,4,4,21,5.25,0,1.0,1,0,,,1.0,4.6,5.6,2.6,,158,,2020,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kenjon Barner,RB,31,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0.0,0,0,,,0.0,0.0,0.0,0.0,,163,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Tony Brooks-James,RB,26,1,0,0,0,0,0,0,3,4,1.33,0,0,0,0,,0,0.0,0,0,,,0.0,0.4,0.4,0.4,,159,,2020,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Raymond Calais,RB,22,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0.0,0,0,,,0.0,0.0,0.0,0.0,,165,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nathan Cottrell,RB,24,8,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0.0,0,0,,,0.0,0.0,0.0,0.0,,166,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jeremy Cox,RB,24,7,1,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,167,,2020,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Trey Edmunds,RB,26,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,168,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Taiwan Jones,RB,32,13,0,0,0,0,0,0,0,0,,0,2,0,0,,0,,0,0,,,0.0,0.0,0.0,0.0,,169,,2020,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Xavier Jones,RB,23,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0.0,0,0,,,0.0,0.0,0.0,0.0,,170,,2020,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
