,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
144,Jaylen Warren,PIT,RB,26,15,0,0,0,0,0,0,120,511,4.26,1,47,38,310,8.16,0,2,1,1,N/A,N/A,86,124.1,131.1,105.1,N/A,40,N/A,2024
145,Ameer Abdullah,LVR,RB,31,16,3,0,0,0,0,0,66,311,4.71,2,47,40,261,6.53,3,2,1,5,N/A,N/A,85,125.2,132.2,105.2,N/A,41,N/A,2024
146,Justice Hill,BAL,RB,27,15,0,0,0,0,0,0,47,228,4.85,1,51,42,383,9.12,3,0,0,4,N/A,N/A,85,127.1,133.1,106.1,N/A,42,N/A,2024
147,David Njoku,CLE,TE,28,11,11,0,0,0,0,0,0,0,N/A,0,97,64,505,7.89,5,0,0,5,2,N/A,85,148.5,151.5,116.5,N/A,11,N/A,2024
148,Emanuel Wilson,GNB,RB,25,17,0,0,0,0,0,0,103,502,4.87,4,14,11,48,4.36,1,0,0,5,N/A,N/A,85,96.0,99.0,90.5,N/A,43,N/A,2024
149,Andrei Iosivas,CIN,WR,25,17,8,0,0,0,0,0,0,0,N/A,0,61,36,479,13.31,6,0,0,6,N/A,N/A,84,119.9,122.9,101.9,N/A,58,N/A,2024
150,Kyle Pitts,ATL,TE,24,17,15,0,0,0,0,0,0,0,N/A,0,74,47,602,12.81,4,0,0,4,N/A,N/A,84,131.2,134.2,107.7,N/A,12,N/A,2024
151,Tyjae Spears,TEN,RB,23,12,1,0,0,0,0,0,84,312,3.71,4,35,30,224,7.47,1,1,0,5,N/A,N/A,84,113.6,119.6,98.6,N/A,44,N/A,2024
152,Calvin Austin III,PIT,WR,25,17,8,0,0,0,0,0,0,0,N/A,0,58,36,548,15.22,4,1,1,5,N/A,N/A,83,118.8,122.8,100.8,N/A,59,N/A,2024
153,Keon Coleman,BUF,WR,21,13,12,0,0,0,0,0,1,9,9.00,0,57,29,556,19.17,4,0,0,4,1,N/A,83,111.5,114.5,97.0,N/A,60,N/A,2024
154,Demario Douglas,NWE,WR,24,17,7,0,0,0,0,0,3,16,5.33,0,87,66,621,9.41,3,1,0,3,N/A,N/A,82,147.7,150.7,114.7,N/A,62,N/A,2024
155,Isaiah Likely,BAL,TE,24,16,9,0,0,0,0,0,0,0,N/A,0,58,42,477,11.36,6,1,1,6,N/A,N/A,82,123.7,127.7,102.7,N/A,13,N/A,2024
156,Cade Otton,TAM,TE,25,14,14,0,0,0,0,0,1,-4,-4.00,0,87,59,600,10.17,4,2,1,4,N/A,N/A,82,140.6,144.6,111.1,N/A,14,N/A,2024
157,Tre Tucker,LVR,WR,23,17,14,0,0,0,0,0,9,44,4.89,1,81,47,539,11.47,3,0,0,4,N/A,N/A,82,129.3,132.3,105.8,N/A,61,N/A,2024
158,Antonio Gibson,NWE,RB,26,17,3,0,0,0,0,0,120,538,4.48,1,29,23,206,8.96,0,2,0,1,N/A,N/A,80,103.4,109.4,91.9,N/A,45,N/A,2024
159,Drew Lock,NYG,QB,28,8,5,107,181,1071,6,5,18,133,7.39,2,0,0,0,N/A,0,5,2,2,N/A,1,80,80.1,93.1,85.1,N/A,39,N/A,2024
160,Cam Akers,2TM,RB,25,17,2,0,0,0,0,0,104,444,4.27,2,18,14,68,4.86,3,1,1,5,N/A,N/A,79,93.2,97.2,86.2,N/A,46,N/A,2024
161,Kayshon Boutte,NWE,WR,22,15,13,0,0,0,0,0,0,0,N/A,0,68,43,589,13.70,3,0,0,3,1,N/A,79,121.9,124.9,100.4,N/A,63,N/A,2024
162,Amari Cooper,2TM,WR,30,14,10,0,0,0,0,0,0,0,N/A,0,85,44,547,12.43,4,0,0,4,N/A,N/A,79,122.7,125.7,100.7,N/A,64,N/A,2024
163,Isaac Guerendo,SFO,RB,24,16,3,0,0,0,0,0,84,420,5.00,4,16,15,152,10.13,0,3,1,4,N/A,N/A,79,94.2,101.2,86.7,N/A,47,N/A,2024
164,Hunter Henry,NWE,TE,30,16,16,0,0,0,0,0,0,0,N/A,0,97,66,674,10.21,2,0,0,2,N/A,N/A,79,145.4,148.4,112.4,N/A,15,N/A,2024
165,Taysom Hill,NOR,TE,34,8,8,2,4,21,0,1,39,278,7.13,6,31,23,187,8.13,0,1,1,6,N/A,N/A,79,102.3,110.3,91.8,N/A,16,N/A,2024
166,Ray-Ray McCloud,ATL,WR,28,17,13,0,0,0,0,0,10,79,7.90,0,87,62,686,11.06,1,4,2,1,N/A,N/A,79,140.5,145.5,109.5,N/A,65,N/A,2024
167,Michael Wilson,ARI,WR,24,16,13,0,0,0,0,0,1,7,7.00,0,71,47,548,11.66,4,1,1,4,N/A,N/A,78,124.5,128.5,101.0,N/A,66,N/A,2024
168,Mike Gesicki,CIN,TE,29,17,3,0,0,0,0,0,0,0,N/A,0,83,65,665,10.23,2,1,1,2,N/A,N/A,77,141.5,145.5,109.0,N/A,17,N/A,2024
169,Deshaun Watson,CLE,QB,29,7,7,137,216,1148,5,3,31,148,4.77,1,0,0,0,N/A,0,5,3,1,N/A,1,77,76.7,88.7,79.7,N/A,40,N/A,2024
170,Xavier Legette,CAR,WR,23,16,13,0,0,0,0,0,6,24,4.00,0,84,49,497,10.14,4,0,0,4,N/A,N/A,76,125.1,128.1,100.6,N/A,68,N/A,2024
171,Devin Singletary,NYG,RB,27,15,5,0,0,0,0,0,113,437,3.87,4,24,21,119,5.67,0,2,2,4,N/A,N/A,76,96.6,104.6,86.1,N/A,48,N/A,2024
172,Christian Watson,GNB,WR,25,15,15,0,0,0,0,0,4,23,5.75,0,53,29,620,21.38,2,1,1,2,1,N/A,76,105.3,109.3,90.8,N/A,67,N/A,2024
173,Stefon Diggs,HOU,WR,31,8,8,1,1,13,0,0,3,8,2.67,1,64,47,496,10.55,3,0,0,4,N/A,N/A,75,121.9,124.9,98.4,N/A,70,N/A,2024
174,Jalen Nailor,MIN,WR,25,17,7,0,0,0,0,0,3,-4,-1.33,0,42,28,414,14.79,6,1,1,6,N/A,N/A,75,103.0,107.0,89.0,N/A,69,N/A,2024
175,Ty Johnson,BUF,RB,27,17,1,0,0,0,0,0,41,213,5.20,1,25,18,284,15.78,3,0,0,4,N/A,N/A,74,91.7,97.7,82.7,N/A,49,N/A,2024
176,Noah Gray,KAN,TE,25,17,10,0,0,0,0,0,1,-4,-4.00,0,49,40,437,10.93,5,0,0,5,N/A,N/A,73,113.3,116.3,93.3,N/A,19,N/A,2024
177,Juwan Johnson,NOR,TE,28,17,5,0,0,0,0,0,0,0,N/A,0,66,50,548,10.96,3,2,0,3,N/A,N/A,73,122.8,125.8,97.8,N/A,20,N/A,2024
178,Cole Kmet,CHI,TE,25,17,16,0,0,0,0,0,0,0,N/A,0,55,47,474,10.09,4,0,0,4,1,N/A,73,120.4,123.4,96.9,N/A,18,N/A,2024
179,Jaleel McLaughlin,DEN,RB,24,16,5,0,0,0,0,0,113,496,4.39,1,27,24,76,3.17,2,1,1,3,N/A,N/A,73,97.2,101.2,85.2,N/A,50,N/A,2024
180,KaVontae Turpin*+,DAL,WR,28,17,2,0,0,0,0,0,16,92,5.75,0,52,31,420,13.55,2,3,1,4,N/A,N/A,73,104.2,108.2,88.7,N/A,71,N/A,2024
181,Tyler Lockett,SEA,WR,32,17,14,0,0,0,0,0,0,0,N/A,0,74,49,600,12.24,2,0,0,2,N/A,N/A,72,121.0,124.0,96.5,N/A,72,N/A,2024
182,Dontayvion Wicks,GNB,WR,23,17,5,0,0,0,0,0,0,0,N/A,0,76,39,415,10.64,5,0,0,5,N/A,N/A,72,110.5,113.5,91.0,N/A,73,N/A,2024
183,Tyler Conklin,NYJ,TE,29,16,15,0,0,0,0,0,1,0,0.00,0,72,51,449,8.80,4,0,0,4,1,N/A,71,121.9,124.9,96.4,N/A,22,N/A,2024
184,Foster Moreau,NOR,TE,27,17,17,0,0,0,0,0,0,0,N/A,0,43,32,413,12.91,5,0,0,5,N/A,N/A,71,103.3,106.3,87.3,N/A,21,N/A,2024
185,Darius Slayton,NYG,WR,27,16,13,0,0,0,0,0,2,17,8.50,0,71,39,573,14.69,2,1,0,2,N/A,N/A,71,110.0,113.0,90.5,N/A,74,N/A,2024
186,Mack Hollins,BUF,WR,31,17,13,0,0,0,0,0,0,0,N/A,0,50,31,378,12.19,5,0,0,5,N/A,N/A,68,98.8,101.8,83.3,N/A,76,N/A,2024
187,Josh Palmer,LAC,WR,25,15,7,0,0,0,0,0,0,0,N/A,0,65,39,584,14.97,1,0,0,1,2,N/A,68,107.4,110.4,87.9,N/A,75,N/A,2024
188,Spencer Rattler,NOR,QB,24,7,6,130,228,1317,4,5,18,146,8.11,0,0,0,0,N/A,0,5,3,0,N/A,N/A,67,67.3,81.3,72.3,N/A,41,N/A,2024
189,Olamide Zaccheaus,WAS,WR,27,17,6,0,0,0,0,0,1,8,8.00,0,64,45,506,11.24,3,3,1,3,N/A,N/A,67,112.4,116.4,89.9,N/A,77,N/A,2024
190,Braelon Allen,NYJ,RB,20,17,2,0,0,0,0,0,92,334,3.63,2,27,19,148,7.79,1,0,0,3,N/A,N/A,66,85.2,91.2,75.7,N/A,51,N/A,2024
191,Marquez Valdes-Scantling,2TM,WR,30,14,8,0,0,0,0,0,1,4,4.00,0,44,19,411,21.63,4,0,0,4,N/A,N/A,66,84.5,87.5,75.0,N/A,78,N/A,2024
192,Devaughn Vele,DEN,WR,27,13,7,0,0,0,0,0,0,0,N/A,0,55,41,475,11.59,3,0,0,3,N/A,N/A,66,106.5,109.5,86.0,N/A,79,N/A,2024
193,Dalton Schultz,HOU,TE,28,17,13,0,0,0,0,0,0,0,N/A,0,85,53,532,10.04,2,0,0,2,N/A,N/A,65,118.2,121.2,91.7,N/A,23,N/A,2024
194,Parker Washington,JAX,WR,22,17,7,0,0,0,0,0,0,0,N/A,0,51,32,390,12.19,3,2,0,4,1,N/A,65,97.0,100.0,81.0,N/A,80,N/A,2024
195,Austin Hooper,NWE,TE,30,17,8,0,0,0,0,0,0,0,N/A,0,59,45,476,10.58,3,2,1,3,N/A,N/A,64,108.6,112.6,86.1,N/A,24,N/A,2024
196,Ricky Pearsall,SFO,WR,24,11,4,0,1,0,0,0,3,45,15.00,0,46,31,400,12.90,3,0,0,3,N/A,N/A,63,93.5,96.5,78.0,N/A,81,N/A,2024
197,Dallas Goedert,PHI,TE,29,10,10,0,0,0,0,0,0,0,N/A,0,52,42,496,11.81,2,2,0,2,N/A,N/A,62,103.6,106.6,82.6,N/A,25,N/A,2024
198,Chigoziem Okonkwo,TEN,TE,25,17,11,0,0,0,0,0,1,17,17.00,0,70,52,479,9.21,2,2,1,2,1,N/A,62,113.6,117.6,87.6,N/A,26,N/A,2024
199,Jalen Coker,CAR,WR,23,11,4,1,1,19,0,0,0,0,N/A,0,46,32,478,14.94,2,0,0,2,N/A,N/A,61,92.6,95.6,76.6,N/A,82,N/A,2024
200,Gus Edwards,LAC,RB,29,11,6,0,0,0,0,0,101,365,3.61,4,5,3,6,2.00,0,0,0,4,N/A,N/A,61,64.1,67.1,62.6,N/A,53,N/A,2024
201,Tyler Huntley,MIA,QB,26,5,5,86,133,829,3,3,26,135,5.19,2,0,0,0,N/A,0,6,2,2,N/A,N/A,61,60.7,71.7,63.7,N/A,42,N/A,2024
202,Roschon Johnson,CHI,RB,23,14,0,0,0,0,0,0,55,150,2.73,6,20,16,104,6.50,0,0,0,6,N/A,N/A,61,77.4,83.4,69.4,N/A,52,N/A,2024
203,Will Dissly,LAC,TE,28,15,8,0,0,0,0,0,0,0,N/A,0,64,50,481,9.62,2,0,0,2,N/A,N/A,60,110.1,113.1,85.1,N/A,27,N/A,2024
204,Elijah Moore,CLE,WR,24,17,13,0,0,0,0,0,1,1,1.00,0,102,61,538,8.82,1,0,0,1,N/A,N/A,60,120.9,123.9,90.4,N/A,83,N/A,2024
205,Rashid Shaheed,NOR,WR,26,6,5,0,0,0,0,0,6,29,4.83,0,41,20,349,17.45,3,1,1,4,N/A,N/A,60,79.8,83.8,69.8,N/A,84,N/A,2024
206,Sean Tucker,TAM,RB,23,17,0,0,0,0,0,0,50,308,6.16,2,12,9,109,12.11,1,1,0,3,N/A,N/A,60,68.7,74.7,64.2,N/A,54,N/A,2024
207,Andy Dalton,CAR,QB,37,6,5,106,160,989,7,6,11,34,3.09,0,0,0,0,N/A,0,2,0,0,N/A,N/A,59,59.0,68.0,65.0,N/A,43,N/A,2024
208,Zack Moss,CIN,RB,27,8,6,0,0,0,0,0,74,242,3.27,2,27,23,187,8.13,1,2,1,3,N/A,N/A,59,81.9,88.9,70.4,N/A,55,N/A,2024
209,Tim Patrick,DET,WR,31,16,9,0,0,0,0,0,0,0,N/A,0,44,33,394,11.94,3,0,0,3,1,N/A,59,92.4,95.4,75.9,N/A,85,N/A,2024
210,Nick Chubb,CLE,RB,29,8,8,0,0,0,0,0,102,332,3.25,3,11,5,31,6.20,1,1,1,4,N/A,N/A,58,63.3,67.3,60.8,N/A,56,N/A,2024
211,Tutu Atwell,LAR,WR,25,17,5,0,1,0,0,0,2,7,3.50,0,62,42,562,13.38,0,0,0,0,N/A,N/A,57,98.9,101.9,77.9,N/A,86,N/A,2024
212,Dalton Kincaid,BUF,TE,25,13,9,0,0,0,0,0,0,0,N/A,0,75,44,448,10.18,2,1,0,2,N/A,N/A,57,100.8,103.8,78.8,N/A,28,N/A,2024
213,Noah Fant,SEA,TE,27,14,9,0,0,0,0,0,0,0,N/A,0,64,48,500,10.42,1,0,0,1,N/A,N/A,56,104.0,107.0,80.0,N/A,29,N/A,2024
214,Diontae Johnson,3TM,WR,28,12,8,0,0,0,0,0,2,6,3.00,0,67,33,375,11.36,3,0,0,3,N/A,N/A,56,89.1,92.1,72.6,N/A,87,N/A,2024
215,Jeremy McNichols,WAS,RB,29,17,1,0,0,0,0,0,55,261,4.75,4,12,9,27,3.00,0,0,0,4,1,N/A,55,63.8,66.8,59.3,N/A,57,N/A,2024
216,Greg Dortch,ARI,WR,26,17,4,0,0,0,0,0,5,31,6.20,0,50,37,342,9.24,3,3,1,3,N/A,N/A,53,90.3,94.3,71.8,N/A,88,N/A,2024
217,David Moore,CAR,WR,29,17,5,0,0,0,0,0,1,0,0.00,0,57,32,351,10.97,3,0,0,3,N/A,N/A,53,85.1,88.1,69.1,N/A,89,N/A,2024
218,Samaje Perine,KAN,RB,29,17,0,0,0,0,0,0,20,92,4.60,1,35,28,322,11.50,1,0,0,2,N/A,N/A,53,81.4,84.4,67.4,N/A,58,N/A,2024
219,Miles Sanders,CAR,RB,27,11,2,0,0,0,0,0,55,205,3.73,2,30,24,148,6.17,1,1,0,3,N/A,N/A,53,77.3,83.3,65.3,N/A,59,N/A,2024
220,Raheem Mostert,MIA,RB,32,13,1,0,0,0,0,0,85,278,3.27,2,23,19,161,8.47,0,2,2,2,N/A,N/A,52,70.9,78.9,61.4,N/A,60,N/A,2024
221,Malik Willis,GNB,QB,25,7,2,40,54,550,3,0,20,138,6.90,1,0,0,0,N/A,0,1,1,1,N/A,N/A,52,51.8,58.8,51.8,N/A,44,N/A,2024
222,Jordan Akins,CLE,TE,32,17,6,0,0,0,0,0,0,0,N/A,0,58,40,390,9.75,2,1,0,2,N/A,N/A,51,91.0,94.0,71.0,N/A,31,N/A,2024
223,Noah Brown,WAS,WR,28,11,9,0,0,0,0,0,0,0,N/A,0,56,35,453,12.94,1,0,0,1,N/A,N/A,51,86.3,89.3,68.8,N/A,91,N/A,2024
224,Brenton Strange,JAX,TE,24,17,10,0,0,0,0,0,0,0,N/A,0,53,40,411,10.28,2,1,1,2,N/A,N/A,51,91.1,95.1,71.1,N/A,30,N/A,2024
225,Cedric Tillman,CLE,WR,24,11,6,0,0,0,0,0,1,-5,-5.00,0,49,29,339,11.69,3,1,1,3,1,N/A,51,80.4,84.4,65.9,N/A,90,N/A,2024
226,AJ Barner,SEA,TE,22,17,6,0,0,0,0,0,0,0,N/A,0,38,30,245,8.17,4,0,0,4,N/A,N/A,49,78.5,81.5,63.5,N/A,32,N/A,2024
227,Sterling Shepard,TAM,WR,31,14,5,0,0,0,0,0,8,69,8.63,0,51,32,334,10.44,1,0,0,1,1,N/A,48,80.3,83.3,64.3,N/A,92,N/A,2024
228,Kenneth Gainwell,PHI,RB,25,17,1,0,0,0,0,0,75,290,3.87,1,22,16,116,7.25,0,0,0,1,N/A,N/A,47,62.6,68.6,54.6,N/A,61,N/A,2024
229,Ezekiel Elliott,DAL,RB,29,15,2,0,0,0,0,0,74,226,3.05,3,15,12,69,5.75,0,1,1,3,N/A,N/A,46,57.5,61.5,51.5,N/A,62,N/A,2024
230,T.J. Hockenson,MIN,TE,27,10,9,0,0,0,0,0,0,0,N/A,0,62,41,455,11.10,0,0,0,0,N/A,N/A,46,86.5,89.5,66.0,N/A,33,N/A,2024
231,Marcus Mariota,WAS,QB,31,3,0,34,44,364,4,0,18,92,5.11,1,0,0,0,N/A,0,0,0,1,N/A,N/A,46,45.8,48.8,45.8,N/A,45,N/A,2024
232,Jacoby Brissett,NWE,QB,32,8,5,95,161,826,2,1,15,62,4.13,0,0,0,0,N/A,0,4,1,0,N/A,1,45,45.2,50.2,46.2,N/A,46,N/A,2024
233,Jake Ferguson,DAL,TE,25,14,14,0,0,0,0,0,0,0,N/A,0,86,59,494,8.37,0,4,2,0,N/A,N/A,45,104.4,109.4,74.9,N/A,34,N/A,2024
234,Chris Olave,NOR,WR,24,8,8,0,0,0,0,0,1,7,7.00,0,44,32,400,12.50,1,1,1,1,N/A,N/A,45,76.7,80.7,60.7,N/A,93,N/A,2024
235,Isiah Pacheco,KAN,RB,25,7,6,0,0,0,0,0,83,310,3.73,1,16,12,79,6.58,0,0,0,1,N/A,N/A,45,56.9,59.9,50.9,N/A,63,N/A,2024
236,Brandin Cooks,DAL,WR,31,10,9,0,0,0,0,0,3,-3,-1.00,0,54,26,259,9.96,3,0,0,3,N/A,N/A,44,69.6,72.6,56.6,N/A,95,N/A,2024
237,Audric Estime,DEN,RB,21,13,1,0,0,0,0,0,76,310,4.08,2,5,5,27,5.40,0,2,1,2,N/A,N/A,44,48.7,52.7,46.2,N/A,64,N/A,2024
238,Christian Kirk,JAX,WR,28,8,7,0,0,0,0,0,0,0,N/A,0,47,27,379,14.04,1,0,0,1,N/A,N/A,44,70.9,73.9,57.4,N/A,94,N/A,2024
239,Josh Oliver,MIN,TE,27,15,12,0,0,0,0,0,0,0,N/A,0,28,22,258,11.73,3,0,0,3,N/A,N/A,44,65.8,68.8,54.8,N/A,35,N/A,2024
240,Michael Penix,ATL,QB,24,5,3,61,105,775,3,3,7,11,1.57,1,0,0,0,N/A,0,2,0,1,N/A,N/A,44,44.1,50.1,47.1,N/A,47,N/A,2024
241,Evan Engram,JAX,TE,30,9,9,0,0,0,0,0,0,0,N/A,0,64,47,365,7.77,1,1,1,1,1,N/A,43,89.5,93.5,66.0,N/A,36,N/A,2024
242,Dameon Pierce,HOU,RB,24,11,0,0,0,0,0,0,40,293,7.33,2,4,2,2,1.00,0,1,0,2,N/A,N/A,42,43.5,46.5,42.5,N/A,65,N/A,2024
243,Trey Benson,ARI,RB,21,13,1,0,0,0,0,0,63,291,4.62,1,6,6,59,9.83,0,1,0,1,N/A,N/A,41,47.0,50.0,44.0,N/A,66,N/A,2024
244,Rashee Rice,KAN,WR,24,4,4,0,0,0,0,0,1,1,1.00,0,29,24,288,12.00,2,0,0,2,N/A,N/A,41,64.9,67.9,52.9,N/A,96,N/A,2024
245,Justin Watson,KAN,WR,28,17,7,0,0,0,0,0,0,0,N/A,0,32,22,289,13.14,2,0,0,2,N/A,N/A,41,62.9,65.9,51.9,N/A,97,N/A,2024
246,Van Jefferson,PIT,WR,28,17,12,0,0,0,0,0,0,0,N/A,0,40,24,276,11.50,2,0,0,2,N/A,N/A,40,63.6,66.6,51.6,N/A,98,N/A,2024
247,Kalif Raymond,DET,WR,30,12,2,0,0,0,0,0,2,0,0.00,0,22,17,215,12.65,2,0,0,3,N/A,N/A,40,56.5,59.5,48.0,N/A,99,N/A,2024
248,Ja'Tavion Sanders,CAR,TE,21,16,8,0,0,0,0,0,0,0,N/A,0,43,33,342,10.36,1,1,0,1,N/A,N/A,40,73.2,76.2,56.7,N/A,37,N/A,2024
249,Tyler Boyd,TEN,WR,30,16,8,0,1,0,0,0,1,3,3.00,0,57,39,390,10.00,0,0,0,0,N/A,N/A,39,78.3,81.3,58.8,N/A,100,N/A,2024
250,Emari Demercado,ARI,RB,25,13,0,0,0,0,0,0,24,223,9.29,1,20,16,104,6.50,0,0,0,1,N/A,N/A,39,54.7,60.7,46.7,N/A,67,N/A,2024
251,Troy Franklin,DEN,WR,21,16,6,0,0,0,0,0,2,8,4.00,0,53,28,263,9.39,2,0,0,2,N/A,N/A,39,67.1,70.1,53.1,N/A,101,N/A,2024
252,Theo Johnson,NYG,TE,23,12,11,0,0,0,0,0,0,0,N/A,0,43,29,331,11.41,1,0,0,1,N/A,N/A,39,68.1,71.1,53.6,N/A,38,N/A,2024
253,Kyle Juszczyk*,SFO,FB,33,17,15,0,0,0,0,0,5,26,5.20,1,31,19,200,10.53,2,1,1,3,N/A,N/A,39,57.6,61.6,48.1,N/A,68,N/A,2024
254,Trey Sermon,IND,RB,25,17,3,0,0,0,0,0,56,159,2.84,2,19,16,99,6.19,0,0,0,2,N/A,N/A,38,53.8,56.8,45.8,N/A,69,N/A,2024
255,Brandon Aiyuk,SFO,WR,26,7,7,0,0,0,0,0,0,0,N/A,0,47,25,374,14.96,0,0,0,0,N/A,N/A,37,62.4,65.4,49.9,N/A,102,N/A,2024
256,Kendrick Bourne,NWE,WR,29,12,9,0,1,0,0,0,1,6,6.00,0,38,28,305,10.89,1,0,0,1,N/A,N/A,37,65.1,68.1,51.1,N/A,104,N/A,2024
257,Dyami Brown,WAS,WR,25,16,3,0,1,0,0,0,3,26,8.67,0,40,30,308,10.27,1,1,1,1,N/A,N/A,37,67.4,71.4,52.4,N/A,103,N/A,2024
258,Isaiah Davis,NYJ,RB,22,17,0,0,0,0,0,0,30,174,5.80,1,12,9,75,8.33,1,0,0,2,N/A,N/A,37,45.9,48.9,41.4,N/A,71,N/A,2024
259,Dawson Knox,BUF,TE,28,16,13,0,0,0,0,0,0,0,N/A,0,33,22,311,14.14,1,0,0,1,N/A,N/A,37,59.1,62.1,48.1,N/A,39,N/A,2024
260,Dare Ogunbowale,HOU,RB,30,17,1,0,0,0,0,0,30,112,3.73,0,28,19,198,10.42,1,0,0,1,N/A,N/A,37,56.0,62.0,46.5,N/A,70,N/A,2024
261,Grant Calcaterra,PHI,TE,26,17,13,0,0,0,0,0,0,0,N/A,0,30,24,298,12.42,1,0,0,1,N/A,N/A,36,59.8,62.8,47.8,N/A,40,N/A,2024
262,Mike Williams,2TM,WR,30,18,5,0,0,0,0,0,0,0,N/A,0,34,21,298,14.19,1,0,0,1,N/A,N/A,36,56.8,59.8,46.3,N/A,105,N/A,2024
263,Nelson Agholor,BAL,WR,31,14,7,0,0,0,0,0,0,0,N/A,0,29,14,231,16.50,2,0,0,2,N/A,N/A,35,49.1,52.1,42.1,N/A,106,N/A,2024
264,Tyler Johnson,LAR,WR,26,15,2,0,0,0,0,0,0,0,N/A,0,41,26,291,11.19,1,0,0,1,N/A,N/A,35,61.1,64.1,48.1,N/A,107,N/A,2024
265,Colby Parkinson,LAR,TE,25,17,9,0,0,0,0,0,0,0,N/A,0,49,30,294,9.80,1,0,0,1,N/A,N/A,35,65.4,68.4,50.4,N/A,41,N/A,2024
266,JuJu Smith-Schuster,KAN,WR,28,14,8,0,0,0,0,0,0,0,N/A,0,26,18,231,12.83,2,0,0,2,N/A,N/A,35,53.1,56.1,44.1,N/A,108,N/A,2024
267,Gabriel Davis,JAX,WR,25,10,9,0,0,0,0,0,0,0,N/A,0,42,20,239,11.95,2,1,1,2,N/A,N/A,34,53.9,57.9,43.9,N/A,109,N/A,2024
268,Tyler Goodson,IND,RB,24,16,0,0,0,0,0,0,32,153,4.78,1,15,11,61,5.55,1,0,0,2,N/A,N/A,33,44.4,47.4,38.9,N/A,72,N/A,2024
269,Lil'Jordan Humphrey,DEN,WR,26,17,7,0,0,0,0,0,0,0,N/A,0,45,31,293,9.45,1,2,1,1,N/A,N/A,33,64.3,68.3,48.8,N/A,110,N/A,2024
270,Christian McCaffrey,SFO,RB,28,4,4,0,0,0,0,0,50,202,4.04,0,19,15,146,9.73,0,1,1,0,N/A,N/A,33,47.8,54.8,40.3,N/A,73,N/A,2024
271,Curtis Samuel,BUF,WR,28,14,2,0,0,0,0,0,5,14,2.80,0,46,31,253,8.16,1,0,0,1,N/A,N/A,33,63.7,66.7,48.2,N/A,111,N/A,2024
272,Tommy Tremble,CAR,TE,24,12,11,0,0,0,0,0,0,0,N/A,0,32,23,234,10.17,2,1,1,2,N/A,N/A,33,56.4,60.4,44.9,N/A,42,N/A,2024
273,Josh Whyle,TEN,TE,25,17,4,0,0,0,0,0,0,0,N/A,0,37,28,248,8.86,1,0,0,1,1,N/A,33,60.8,63.8,46.8,N/A,43,N/A,2024
274,Nick Vannett,TEN,TE,31,17,10,0,0,0,0,0,0,0,N/A,0,20,17,135,7.94,3,0,0,3,N/A,N/A,32,48.5,51.5,40.0,N/A,44,N/A,2024
275,Chris Brooks,GNB,RB,24,15,0,0,0,0,0,0,36,183,5.08,1,13,11,69,6.27,0,0,0,1,N/A,N/A,31,42.2,45.2,36.7,N/A,74,N/A,2024
276,Joshua Dobbs,SFO,QB,29,2,1,32,47,361,2,2,9,24,2.67,2,0,0,0,N/A,0,2,1,2,N/A,N/A,31,30.8,36.8,32.8,N/A,48,N/A,2024
277,John Metchie,HOU,WR,24,13,3,0,0,0,0,0,0,0,N/A,0,37,24,254,10.58,1,1,0,1,N/A,N/A,31,55.4,58.4,43.4,N/A,112,N/A,2024
278,Adonai Mitchell,IND,WR,22,17,7,1,1,24,0,0,4,6,1.50,0,55,23,312,13.57,0,2,1,0,N/A,N/A,31,53.8,57.8,42.3,N/A,114,N/A,2024
279,Chris Rodriguez,WAS,RB,24,9,0,0,0,0,0,0,35,173,4.94,2,1,1,12,12.00,0,0,0,2,N/A,N/A,31,31.5,34.5,31.0,N/A,75,N/A,2024
280,Adam Trautman,DEN,TE,27,17,14,0,0,0,0,0,0,0,N/A,0,22,13,188,14.46,2,0,0,2,N/A,N/A,31,43.8,46.8,37.3,N/A,45,N/A,2024
281,DJ Turner,LVR,WR,27,12,6,0,0,0,0,0,5,33,6.60,1,29,16,158,9.88,1,1,0,2,N/A,N/A,31,47.1,50.1,39.1,N/A,113,N/A,2024
282,Jordan Whittington,LAR,WR,24,15,3,0,0,0,0,0,2,12,6.00,0,28,22,293,13.32,0,0,0,0,N/A,N/A,31,52.5,55.5,41.5,N/A,115,N/A,2024
283,Nate Adkins,DEN,TE,25,17,10,0,0,0,0,0,0,0,N/A,0,15,14,115,8.21,3,0,0,3,N/A,N/A,30,43.5,46.5,36.5,N/A,47,N/A,2024
284,Hassan Haskins,LAC,RB,25,17,0,0,0,0,0,0,34,89,2.62,2,3,3,49,16.33,1,1,1,3,N/A,N/A,30,32.8,33.8,31.3,N/A,76,N/A,2024
285,Luke Schoonmaker,DAL,TE,26,17,6,0,0,0,0,0,0,0,N/A,0,36,27,241,8.93,1,0,0,1,N/A,N/A,30,57.1,60.1,43.6,N/A,46,N/A,2024
286,Cedrick Wilson Jr.,NOR,WR,29,15,4,1,1,21,1,0,0,0,N/A,0,27,20,211,10.55,1,1,1,1,N/A,N/A,30,49.9,53.9,39.9,N/A,116,N/A,2024
