Player,FantPos,Age,GamesPlayed,GamesStarted,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushYdsPerAtt,RushTD,Targets,Receptions,RecYds,RecYdsPerReception,RecTD,Fumbles,FumblesLost,TotalTD,TwoPtConvMade,TwoPtConvPassing,FantasyPts,FantasyPtsPPR,FantasyPtsDraftKings,FantasyPtsFanDuel,VBD,PosRank,OverallRank,Year,SelectedToProBowl,FirstTeamAllPro,Team_3TM,Team_ARI,Team_ATL,Team_BAL,Team_BUF,Team_CAR,Team_CHI,Team_CIN,Team_CLE,Team_DAL,Team_DEN,Team_DET,Team_GNB,Team_HOU,Team_IND,Team_JAX,Team_KAN,Team_LAC,Team_LAR,Team_LVR,Team_MIA,Team_MIN,Team_NOR,Team_NWE,Team_NYG,Team_NYJ,Team_PHI,Team_PIT,Team_SEA,Team_SFO,Team_TAM,Team_TEN,Team_WAS
Jeremy Ruckert,TE,24,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,18.0,105.0,5.83,0.0,0.0,0.0,0,,,11.0,28.5,31.5,19.5,,69,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Blake Whiteheart,TE,24,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,6.0,51.0,8.5,1.0,0.0,0.0,1,,,11.0,17.1,17.1,14.1,,67,,2024,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kenny Yeboah,TE,26,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,5.0,47.0,9.4,1.0,0.0,0.0,1,,,11.0,15.7,15.7,13.2,,68,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Connor Heyward,TE,25,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,6.0,40.0,6.67,1.0,0.0,0.0,1,,,10.0,16.0,16.0,13.0,,70,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Julian Hill,TE,24,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,12.0,100.0,8.33,0.0,1.0,0.0,0,,,10.0,22.0,25.0,16.0,,71,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Quintin Morris,TE,25,16,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,5.0,36.0,7.2,1.0,0.0,0.0,1,,,10.0,14.6,14.6,12.1,,73,,2024,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MyCole Pruitt,TE,32,12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,6.0,40.0,6.67,1.0,0.0,0.0,1,,,10.0,16.0,16.0,13.0,,72,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Harrison Bryant,TE,26,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,9.0,86.0,9.56,0.0,0.0,0.0,0,,,9.0,17.6,17.6,13.1,,78,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Devin Culp,TE,24,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,5.0,88.0,17.6,0.0,0.0,0.0,0,,,9.0,13.8,13.8,11.3,,75,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Chris Manhertz,TE,32,17,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,3.0,30.0,10.0,1.0,0.0,0.0,1,,,9.0,12.0,12.0,10.5,,74,,2024,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
