,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Link,Coll_year_id,Coll_pos,Coll_games,Coll_pass_cmp,Coll_pass_att,Coll_pass_cmp_pct,Coll_pass_yds,Coll_pass_td,Coll_pass_td_pct,Coll_pass_int,Coll_pass_int_pct,Coll_pass_yds_per_att,Coll_pass_adj_yds_per_att,Coll_pass_yds_per_cmp,Coll_pass_yds_per_g,Coll_pass_rating,Coll_awards,Coll_rush_att,Coll_rush_yds,Coll_rush_yds_per_att,Coll_rush_td,Coll_rush_yds_per_g,Coll_rec,Coll_rec_yds,Coll_rec_yds_per_rec,Coll_rec_td,Coll_rec_yds_per_g,Coll_scrim_att,Coll_yds_from_scrimmage,Coll_scrim_yds_per_att,Coll_scrim_td
151,150,NOR,Spencer Rattler,QB,23,2024,0,0,0,2,2,7,130,228,1317,4,5,18,146,0,0,0,0,,,,South Carolina,http://www.sports-reference.com/cfb/players/spencer-rattler-1.html,Career,,48,900,1313,68.5,10807,77,5.9,32,2.4,8.2,8.31,12.0,225.1,152.2,,297,410,1.4,16,8.5,1,15,15.0,0,0.3,298,425,1.4,16
153,152,PHI,Ainias Smith,WR,23,2024,0,0,0,1,1,7,0,0,0,0,0,2,6,0,7,41,1,,,,Texas A&M,http://www.sports-reference.com/cfb/players/ainias-smith-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,156,CLE,Jamari Thrash,WR,23,2024,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,22,0,,,,Louisville,http://www.sports-reference.com/cfb/players/jamari-thrash-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,165,BAL,Rasheen Ali,RB,23,2024,0,0,0,0,0,6,0,0,0,0,0,10,31,0,0,0,0,,,,Marshall,http://www.sports-reference.com/cfb/players/rasheen-ali-1.html,Career,,34,,,,,,,,,,,,,,,514,2831,5.5,39,83.3,76,565,7.4,3,16.6,590,3396,5.8,42
167,166,NYG,Tyrone Tracy Jr.,RB,24,2024,0,0,1,6,6,17,0,0,0,0,0,192,839,5,38,284,1,,,,Purdue,http://www.sports-reference.com/cfb/players/tyrone-tracy-jr-1.html,Career,,63,,,,,,,,,,,,,,,146,947,6.5,10,15.0,113,1201,10.6,5,19.1,259,2148,8.3,15
168,167,JAX,Keilan Robinson,RB,24,2024,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,http://www.sports-reference.com/cfb/players/keilan-robinson-1.html,Career,,45,,,,,,,,,,,,,,,121,796,6.6,8,17.7,35,332,9.5,3,7.4,156,1128,7.2,11
171,170,NOR,Bub Means,WR,23,2024,0,0,0,1,1,7,0,0,0,0,0,0,0,0,9,118,1,,,,Pittsburgh,http://www.sports-reference.com/cfb/players/bub-means-1.html,Career,,42,1,1,100.0,22,0,0.0,0,0.0,22.0,22.00,22.0,0.5,284.8,,,,,,,,,,,,,,,
172,171,NYJ,Jordan Travis,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Florida St.,http://www.sports-reference.com/cfb/players/jordan-travis-1.html,Career,,49,637,1027,62.0,8715,66,6.4,20,1.9,8.5,8.89,13.7,177.9,150.6,,417,1950,4.7,31,39.8,3,12,4.0,1,0.2,420,1962,4.7,32
182,181,LAC,Kimani Vidal,RB,23,2024,0,0,0,2,2,10,0,0,0,0,0,43,155,0,5,62,1,,,,Troy,http://www.sports-reference.com/cfb/players/kimani-vidal-1.html,Career,,48,,,,,,,,,,,,,,,781,4010,5.1,33,83.5,92,700,7.6,1,14.6,873,4710,5.4,34
183,182,TEN,Jha'Quan Jackson,WR,24,2024,0,0,0,0,0,12,0,0,0,0,0,1,-5,0,1,8,0,,,,Tulane,http://www.sports-reference.com/cfb/players/jhaquan-jackson-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
